iter	Passed	Remaining
455	932	1112
456	934	1109
457	935	1107
458	937	1104
459	938	1101
460	939	1099
461	941	1096
462	942	1093
463	944	1090
464	946	1088
465	947	1085
466	949	1083
467	950	1080
468	951	1077
469	953	1074
470	954	1072
471	955	1069
472	957	1066
473	958	1063
474	960	1061
475	962	1059
476	963	1056
477	964	1053
478	966	1051
479	967	1048
480	969	1045
481	971	1043
482	973	1041
483	974	1039
484	976	1036
485	977	1033
486	978	1031
487	980	1028
488	981	1025
489	982	1023
490	984	1020
491	985	1017
492	987	1015
493	989	1013
494	990	1010
495	992	1008
496	993	1005
497	994	1002
498	996	1000
499	997	997
500	998	994
501	1000	992
502	1001	989
503	1003	987
504	1005	985
505	1006	982
506	1009	981
507	1011	979
508	1013	977
509	1014	974
510	1015	972
511	1017	969
512	1019	967
513	1021	965
514	1023	963
515	1024	960
516	1025	958
517	1027	955
518	1028	953
519	1030	951
520	1031	948
521	1032	945
522	1034	943
523	1036	941
524	1038	939
525	1039	936
526	1041	934
527	1042	932
528	1044	929
529	1045	927
530	1046	924
531	1048	922
532	1050	920
533	1051	917
534	1053	915
535	1054	912
536	1056	910
537	1057	908
538	1058	905
539	1060	903
540	1061	900
541	1062	898
542	1064	896
543	1066	893
544	1067	891
545	1069	889
546	1070	886
547	1072	884
548	1073	882
549	1075	879
550	1077	877
551	1078	875
552	1080	873
553	1081	870
554	1082	868
555	1084	865
556	1085	863
557	1086	860
558	1088	858
559	1089	856
560	1091	854
561	1092	851
562	1094	849
563	1095	847
564	1097	844
565	1098	842
566	1099	839
567	1101	837
568	1102	835
569	1104	832
570	1105	830
571	1106	828
572	1108	826
573	1109	823
574	1111	821
575	1112	818
576	1114	816
577	1115	814
578	1116	812
579	1118	809
580	1119	807
581	1121	805
582	1122	803
583	1124	800
584	1125	798
585	1127	796
586	1128	793
587	1129	791
588	1131	789
589	1133	787
590	1134	785
591	1136	783
592	1137	780
593	1138	778
594	1140	776
595	1141	773
596	1143	771
597	1144	769
598	1146	767
599	1147	765
600	1149	762
601	1150	760
602	1151	758
603	1153	756
604	1154	753
605	1156	751
606	1157	749
607	1159	747
608	1161	745
609	1162	743
610	1163	740
611	1165	738
612	1166	736
613	1168	734
614	1169	732
615	1170	729
616	1172	727
617	1173	725
618	1175	723
619	1176	721
620	1178	719
621	1179	716
622	1181	714
623	1182	712
624	1183	710
625	1185	708
626	1186	705
627	1187	703
628	1189	701
629	1190	699
630	1192	697
631	1193	694
632	1194	692
633	1196	690
634	1197	688
635	1198	686
636	1200	684
637	1202	682
638	1203	679
639	1204	677
640	1206	675
641	1207	673
642	1208	671
643	1210	669
644	1211	666
645	1213	664
646	1214	662
647	1216	660
648	1217	658
649	1218	656
650	1220	654
651	1221	652
652	1223	649
653	1224	647
654	1225	645
655	1227	643
656	1229	641
657	1230	639
658	1231	637
659	1233	635
660	1234	633
661	1236	631
662	1237	629
663	1238	626
664	1240	624
665	1242	622
666	1243	620
667	1245	618
668	1246	616
669	1247	614
670	1249	612
671	1250	610
672	1252	608
673	1253	606
674	1255	604
675	1256	602
676	1258	600
677	1259	598
678	1261	596
679	1262	594
680	1263	592
681	1265	590
682	1266	587
683	1269	586
684	1270	584
685	1272	582
686	1273	580
687	1274	578
688	1276	576
689	1277	574
690	1279	572
691	1280	569
692	1282	567
693	1283	565
694	1285	563
695	1286	561
696	1287	559
697	1289	557
698	1290	555
699	1292	553
700	1293	551
701	1296	550
702	1297	548
703	1299	546
704	1300	544
705	1301	542
706	1303	540
707	1304	538
708	1306	536
709	1307	534
710	1309	532
711	1310	530
712	1312	528
713	1313	526
714	1315	524
715	1316	522
716	1318	520
717	1319	518
718	1320	516
719	1322	514
720	1324	512
721	1325	510
722	1327	508
723	1329	506
724	1330	504
725	1332	502
726	1333	500
727	1334	498
728	1336	496
729	1337	494
730	1339	492
731	1340	490
732	1342	488
733	1343	487
734	1345	485
735	1346	483
736	1348	481
737	1349	479
738	1350	477
739	1352	475
740	1353	473
741	1355	471
742	1356	469
743	1358	467
744	1359	465
745	1361	463
746	1362	461
747	1364	459
748	1365	457
749	1366	455
750	1368	453
751	1369	451
752	1371	449
753	1372	447
754	1373	445
755	1375	443
756	1376	441
757	1378	439
758	1379	437
759	1380	436
760	1382	434
761	1383	432
762	1385	430
763	1386	428
764	1388	426
765	1389	424
766	1391	422
767	1392	420
768	1393	418
769	1395	416
770	1396	414
771	1397	412
772	1399	410
773	1400	408
774	1401	407
775	1403	405
776	1405	403
777	1406	401
778	1408	399
779	1409	397
780	1411	395
781	1413	393
782	1414	392
783	1416	390
784	1417	388
785	1419	386
786	1420	384
787	1421	382
788	1423	380
789	1424	378
790	1426	376
791	1427	374
792	1428	372
793	1430	371
794	1431	369
795	1433	367
796	1434	365
797	1435	363
798	1437	361
799	1438	359
800	1439	357
801	1441	355
802	1442	353
803	1443	352
804	1445	350
805	1447	348
806	1449	346
807	1451	344
808	1453	343
809	1455	341
810	1457	339
811	1458	337
812	1460	335
813	1461	334
814	1463	332
815	1464	330
816	1465	328
817	1466	326
818	1468	324
819	1469	322
820	1471	320
821	1473	319
822	1474	317
823	1476	315
824	1478	313
825	1479	311
826	1480	309
827	1482	307
828	1484	306
829	1485	304
830	1486	302
831	1488	300
832	1489	298
833	1491	296
834	1492	294
835	1493	293
836	1495	291
837	1496	289
838	1498	287
839	1499	285
840	1501	283
841	1502	281
842	1504	280
843	1505	278
844	1506	276
845	1508	274
846	1509	272
847	1511	270
848	1512	269
849	1514	267
850	1515	265
851	1516	263
852	1518	261
853	1519	259
854	1521	257
855	1522	256
856	1524	254
857	1525	252
858	1527	250
859	1528	248
860	1529	246
861	1531	245
862	1532	243
863	1533	241
864	1535	239
865	1536	237
866	1538	235
867	1539	234
868	1540	232
869	1542	230
870	1543	228
871	1544	226
872	1546	224
873	1547	223
874	1549	221
875	1550	219
876	1552	217
877	1553	215
878	1554	214
879	1556	212
880	1557	210
881	1558	208
882	1560	206
883	1561	204
884	1562	203
885	1564	201
886	1566	199
887	1567	197
888	1568	195
889	1570	194
890	1571	192
891	1573	190
892	1574	188
893	1576	186
894	1577	185
895	1579	183
896	1580	181
897	1581	179
898	1583	177
899	1584	176
900	1586	174
901	1587	172
902	1588	170
903	1590	168
904	1592	167
905	1593	165
906	1594	163
907	1596	161
908	1597	159
909	1599	158
910	1600	156
911	1601	154
912	1603	152
913	1604	150
914	1606	149
915	1607	147
916	1608	145
917	1610	143
918	1611	142
919	1612	140
920	1614	138
921	1615	136
922	1617	134
923	1618	133
924	1620	131
925	1621	129
926	1622	127
927	1624	126
928	1625	124
929	1627	122
930	1628	120
931	1629	118
932	1631	117
933	1633	115
934	1634	113
935	1635	111
936	1636	110
937	1638	108
938	1639	106
939	1640	104
940	1642	102
941	1643	101
942	1645	99
943	1646	97
944	1648	95
945	1649	94
946	1650	92
947	1652	90
948	1653	88
949	1654	87
950	1656	85
951	1657	83
952	1659	81
953	1660	80
954	1662	78
955	1663	76
956	1664	74
957	1666	73
958	1667	71
959	1669	69
960	1670	67
961	1671	66
962	1672	64
963	1674	62
964	1675	60
965	1677	59
966	1678	57
967	1679	55
968	1681	53
969	1682	52
970	1683	50
971	1685	48
972	1686	46
973	1688	45
974	1689	43
975	1691	41
976	1692	39
977	1693	38
978	1695	36
979	1696	34
980	1698	32
981	1699	31
982	1701	29
983	1702	27
984	1704	25
985	1705	24
986	1707	22
987	1708	20
988	1710	19
989	1711	17
990	1712	15
991	1714	13
992	1715	12
993	1717	10
994	1718	8
995	1719	6
996	1721	5
997	1722	3
998	1724	1
999	1725	0
